date,year,tournament,series,court,surface,round,best_of,winner,loser,wrank,lrank,wpts,lpts,w1,l1,w2,l2,w3,l3,w4,l4,w5,l5,wsets,lsets,status,win_counts,tsets
2017-01-04,2017,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,2nd Round,3,Verdasco F.,Goffin D.,42.0,11.0,1035.0,2750.0,6.0,1.0,7.0,6.0,,,,,,,2.0,0.0,Completed,96,2.0
2017-01-04,2017,Brisbane International,ATP250,Outdoor,Hard,2nd Round,3,Edmund K.,Pouille L.,45.0,15.0,1001.0,2156.0,6.0,3.0,3.0,1.0,,,,,,,1.0,0.0,Retired,89,1.0
2017-01-04,2017,Brisbane International,ATP250,Outdoor,Hard,2nd Round,3,Wawrinka S.,Troicki V.,4.0,29.0,5315.0,1385.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,94,2.0
2017-01-04,2017,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,2nd Round,3,Murray A.,Melzer G.,1.0,68.0,12410.0,728.0,7.0,6.0,7.0,5.0,,,,,,,2.0,0.0,Completed,60,2.0
2017-01-04,2017,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,2nd Round,3,Karlovic I.,Khachanov K.,20.0,53.0,1795.0,863.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,40,2.0
2017-01-04,2017,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,2nd Round,3,Tsonga J.W.,Brown D.,12.0,72.0,2550.0,710.0,6.0,1.0,6.0,3.0,,,,,,,2.0,0.0,Completed,73,2.0
2017-01-05,2017,Brisbane International,ATP250,Outdoor,Hard,2nd Round,3,Nadal R.,Zverev M.,9.0,51.0,3300.0,874.0,6.0,1.0,6.0,1.0,,,,,,,2.0,0.0,Completed,207,2.0
2017-01-05,2017,Brisbane International,ATP250,Outdoor,Hard,2nd Round,3,Dimitrov G.,Mahut N.,17.0,39.0,2035.0,1102.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,135,2.0
2017-01-05,2017,Chennai Open,ATP250,Outdoor,Hard,2nd Round,3,Bautista Agut R.,Dutra Silva R.,14.0,440.0,2350.0,92.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,161,2.0
2017-01-05,2017,Chennai Open,ATP250,Outdoor,Hard,2nd Round,3,Paire B.,Bhambri Y.,47.0,474.0,960.0,83.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,111,2.0
