date,year,tournament,series,court,surface,round,best_of,winner,loser,wrank,lrank,wpts,lpts,w1,l1,w2,l2,w3,l3,w4,l4,w5,l5,wsets,lsets,status,win_counts,tsets,s1win,s1loss,s1win(%)
2021-06-04,2021,French Open,Grand Slam,Outdoor,Clay,3rd Round,5,Zverev A.,Djere L.,6.0,55.0,6990.0,1168.0,6.0,2.0,7.0,5.0,6.0,2.0,,,,,3.0,0.0,Completed,226,3.0,226,4,98.0
2021-06-04,2021,French Open,Grand Slam,Outdoor,Clay,3rd Round,5,Tsitsipas S.,Isner J.,5.0,34.0,7500.0,1730.0,5.0,7.0,6.0,3.0,7.0,6.0,6.0,1.0,,,3.0,1.0,Completed,170,4.0,166,14,92.0
2021-06-04,2021,French Open,Grand Slam,Outdoor,Clay,3rd Round,5,Medvedev D.,Opelka R.,2.0,35.0,9793.0,1726.0,6.0,4.0,6.0,2.0,6.0,4.0,,,,,3.0,0.0,Completed,195,3.0,195,9,96.0
2021-06-05,2021,French Open,Grand Slam,Outdoor,Clay,3rd Round,5,Nadal R.,Norrie C.,3.0,45.0,9630.0,1430.0,6.0,3.0,6.0,3.0,6.0,3.0,,,,,3.0,0.0,Completed,207,3.0,206,14,94.0
2021-06-05,2021,French Open,Grand Slam,Outdoor,Clay,3rd Round,5,Berrettini M.,Kwon S.W.,9.0,91.0,3958.0,854.0,7.0,6.0,6.0,3.0,6.0,4.0,,,,,3.0,0.0,Completed,107,3.0,104,3,97.0
2021-06-05,2021,French Open,Grand Slam,Outdoor,Clay,3rd Round,5,Djokovic N.,Berankis R.,1.0,93.0,11313.0,839.0,6.0,1.0,6.0,4.0,6.0,1.0,,,,,3.0,0.0,Completed,216,3.0,216,8,96.0
2021-06-05,2021,French Open,Grand Slam,Outdoor,Clay,3rd Round,5,Federer R.,Koepfer D.,8.0,59.0,5605.0,1134.0,7.0,6.0,6.0,7.0,7.0,6.0,7.0,5.0,,,3.0,1.0,Completed,163,4.0,163,9,95.0
2021-06-06,2021,French Open,Grand Slam,Outdoor,Clay,4th Round,5,Zverev A.,Nishikori K.,6.0,49.0,6990.0,1318.0,6.0,4.0,6.0,1.0,6.0,1.0,,,,,3.0,0.0,Completed,226,3.0,226,23,91.0
2021-06-06,2021,French Open,Grand Slam,Outdoor,Clay,4th Round,5,Medvedev D.,Garin C.,2.0,23.0,9793.0,2350.0,6.0,2.0,6.0,1.0,7.0,5.0,,,,,3.0,0.0,Completed,195,3.0,195,10,95.0
2021-06-06,2021,French Open,Grand Slam,Outdoor,Clay,4th Round,5,Tsitsipas S.,Carreno Busta P.,5.0,12.0,7500.0,3085.0,6.0,3.0,6.0,2.0,7.0,5.0,,,,,3.0,0.0,Completed,170,3.0,166,24,87.0
2021-06-07,2021,French Open,Grand Slam,Outdoor,Clay,4th Round,5,Berrettini M.,Federer R.,9.0,8.0,3958.0,5605.0,,,,,,,,,,,,,Walkover,107,0.0,104,12,90.0
2021-06-07,2021,French Open,Grand Slam,Outdoor,Clay,4th Round,5,Nadal R.,Sinner J.,3.0,19.0,9630.0,2500.0,7.0,5.0,6.0,3.0,6.0,0.0,,,,,3.0,0.0,Completed,207,3.0,206,12,94.0
2021-06-07,2021,French Open,Grand Slam,Outdoor,Clay,4th Round,5,Djokovic N.,Musetti L.,1.0,76.0,11313.0,950.0,6.0,7.0,6.0,7.0,6.0,1.0,6.0,0.0,4.0,0.0,2.0,2.0,Retired,216,4.0,216,4,98.0
2021-06-08,2021,French Open,Grand Slam,Outdoor,Clay,Quarterfinals,5,Tsitsipas S.,Medvedev D.,5.0,2.0,7500.0,9793.0,6.0,3.0,7.0,6.0,7.0,5.0,,,,,3.0,0.0,Completed,170,3.0,166,18,90.0
2021-06-08,2021,French Open,Grand Slam,Outdoor,Clay,Quarterfinals,5,Zverev A.,Davidovich Fokina A.,6.0,46.0,6990.0,1408.0,6.0,4.0,6.0,1.0,6.0,1.0,,,,,3.0,0.0,Completed,226,3.0,226,7,97.0
2021-06-09,2021,French Open,Grand Slam,Outdoor,Clay,Quarterfinals,5,Nadal R.,Schwartzman D.,3.0,10.0,9630.0,3465.0,6.0,3.0,4.0,6.0,6.0,4.0,6.0,0.0,,,3.0,1.0,Completed,207,4.0,206,29,88.0
2021-06-09,2021,French Open,Grand Slam,Outdoor,Clay,Quarterfinals,5,Djokovic N.,Berrettini M.,1.0,9.0,11313.0,3958.0,6.0,3.0,6.0,2.0,6.0,7.0,7.0,5.0,,,3.0,1.0,Completed,216,4.0,216,16,93.0
2021-06-11,2021,French Open,Grand Slam,Outdoor,Clay,Semifinals,5,Tsitsipas S.,Zverev A.,5.0,6.0,7500.0,6990.0,6.0,3.0,6.0,3.0,4.0,6.0,4.0,6.0,6.0,3.0,3.0,2.0,Completed,170,5.0,166,27,86.0
2021-06-11,2021,French Open,Grand Slam,Outdoor,Clay,Semifinals,5,Djokovic N.,Nadal R.,1.0,3.0,11313.0,9630.0,3.0,6.0,6.0,3.0,7.0,6.0,6.0,2.0,,,3.0,1.0,Completed,216,4.0,216,19,92.0
2021-06-13,2021,French Open,Grand Slam,Outdoor,Clay,The Final,5,Djokovic N.,Tsitsipas S.,1.0,5.0,11313.0,7500.0,6.0,7.0,2.0,6.0,6.0,3.0,6.0,2.0,6.0,4.0,3.0,2.0,Completed,216,5.0,216,33,87.0
2021-06-14,2021,Halle Open,ATP500,Outdoor,Grass,1st Round,3,Federer R.,Ivashka I.,8.0,90.0,5065.0,855.0,7.0,6.0,7.0,5.0,,,,,,,2.0,0.0,Completed,163,2.0,163,8,95.0
2021-06-15,2021,Queen's Club Championships,ATP500,Outdoor,Grass,1st Round,3,Berrettini M.,Travaglia S.,9.0,88.0,4103.0,870.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,107,2.0,104,4,96.0
2021-06-15,2021,Halle Open,ATP500,Outdoor,Grass,1st Round,3,Zverev A.,Koepfer D.,6.0,53.0,7350.0,1170.0,6.0,4.0,3.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,226,3.0,226,9,96.0
2021-06-15,2021,Halle Open,ATP500,Outdoor,Grass,1st Round,3,Rublev A.,Khachanov K.,7.0,27.0,5910.0,2010.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,154,2.0,147,23,86.0
2021-06-16,2021,Halle Open,ATP500,Outdoor,Grass,2nd Round,3,Rublev A.,Thompson J.,7.0,81.0,5910.0,897.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,154,2.0,147,8,95.0
2021-06-17,2021,Queen's Club Championships,ATP500,Outdoor,Grass,2nd Round,3,Berrettini M.,Murray A.,9.0,124.0,4103.0,640.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,107,2.0,104,9,92.0
2021-06-18,2021,Halle Open,ATP500,Outdoor,Grass,Quarterfinals,3,Rublev A.,Kohlschreiber P.,7.0,128.0,5910.0,617.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,154,2.0,147,15,91.0
2021-06-18,2021,Queen's Club Championships,ATP500,Outdoor,Grass,Quarterfinals,3,Berrettini M.,Evans D.,9.0,25.0,4103.0,2106.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,107,2.0,104,13,89.0
2021-06-19,2021,Halle Open,ATP500,Outdoor,Grass,Semifinals,3,Rublev A.,Basilashvili N.,7.0,30.0,5910.0,1820.0,6.0,1.0,3.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,154,3.0,147,17,90.0
2021-06-19,2021,Queen's Club Championships,ATP500,Outdoor,Grass,Semifinals,3,Berrettini M.,De Minaur A.,9.0,22.0,4103.0,2350.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,107,2.0,104,18,85.0
2021-06-20,2021,Queen's Club Championships,ATP500,Outdoor,Grass,The Final,3,Berrettini M.,Norrie C.,9.0,41.0,4103.0,1510.0,6.0,4.0,6.0,7.0,6.0,3.0,,,,,2.0,1.0,Completed,107,3.0,104,14,88.0
2021-06-21,2021,Mallorca Championships,ATP250,Outdoor,Grass,1st Round,3,Ruud C.,Simon G.,14.0,93.0,2690.0,823.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,102,2.0,86,13,87.0
2021-06-22,2021,Mallorca Championships,ATP250,Outdoor,Grass,2nd Round,3,Medvedev D.,Moutet C.,2.0,85.0,10053.0,873.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,195,2.0,195,6,97.0
2021-06-22,2021,Mallorca Championships,ATP250,Outdoor,Grass,2nd Round,3,Ruud C.,Sandgren T.,14.0,68.0,2690.0,1011.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,102,2.0,86,11,89.0
2021-06-24,2021,Mallorca Championships,ATP250,Outdoor,Grass,Quarterfinals,3,Medvedev D.,Ruud C.,2.0,14.0,10053.0,2690.0,7.0,5.0,6.0,1.0,,,,,,,2.0,0.0,Completed,195,2.0,195,15,93.0
2021-06-25,2021,Mallorca Championships,ATP250,Outdoor,Grass,Semifinals,3,Medvedev D.,Carreno Busta P.,2.0,13.0,10053.0,2905.0,3.0,6.0,6.0,3.0,6.0,2.0,,,,,2.0,1.0,Completed,195,3.0,195,24,89.0
2021-06-26,2021,Mallorca Championships,ATP250,Outdoor,Grass,The Final,3,Medvedev D.,Querrey S.,2.0,60.0,10053.0,1113.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,195,2.0,195,11,95.0
