date,year,tournament,series,court,surface,round,best_of,winner,loser,wrank,lrank,wpts,lpts,w1,l1,w2,l2,w3,l3,w4,l4,w5,l5,wsets,lsets,status,win_counts,tsets,s1win,s1loss,s1win(%),s4win,s4loss,s4win(%)
2017-07-04,2017,Wimbledon,Grand Slam,Outdoor,Grass,1st Round,5,Federer R.,Dolgopolov O.,5.0,84.0,5265.0,631.0,6.0,3.0,3.0,0.0,,,,,,,1.0,0.0,Retired,163,1.0,163,5,97.0,20,0,100.0
2017-07-04,2017,Wimbledon,Grand Slam,Outdoor,Grass,1st Round,5,Zverev A.,Donskoy E.,12.0,98.0,3070.0,584.0,6.0,4.0,7.0,6.0,6.0,3.0,,,,,3.0,0.0,Completed,226,3.0,226,5,98.0,24,0,100.0
2017-07-04,2017,Wimbledon,Grand Slam,Outdoor,Grass,1st Round,5,Thiem D.,Pospisil V.,8.0,73.0,3895.0,697.0,6.0,4.0,6.0,4.0,6.0,3.0,,,,,3.0,0.0,Completed,173,3.0,173,9,95.0,24,0,100.0
2017-07-05,2017,Wimbledon,Grand Slam,Outdoor,Grass,2nd Round,5,Nadal R.,Young D.,2.0,43.0,7285.0,970.0,6.0,4.0,6.0,2.0,7.0,5.0,,,,,3.0,0.0,Completed,207,3.0,206,3,99.0,19,0,100.0
2017-07-06,2017,Wimbledon,Grand Slam,Outdoor,Grass,2nd Round,5,Djokovic N.,Pavlasek A.,4.0,136.0,6055.0,415.0,6.0,2.0,6.0,2.0,6.0,1.0,,,,,3.0,0.0,Completed,216,3.0,216,1,100.0,33,0,100.0
2017-07-06,2017,Wimbledon,Grand Slam,Outdoor,Grass,2nd Round,5,Zverev A.,Tiafoe F.,12.0,64.0,3070.0,756.0,6.0,3.0,6.0,4.0,6.0,3.0,,,,,3.0,0.0,Completed,226,3.0,226,16,93.0,24,4,86.0
2017-07-06,2017,Wimbledon,Grand Slam,Outdoor,Grass,2nd Round,5,Federer R.,Lajovic D.,5.0,79.0,5265.0,661.0,7.0,6.0,6.0,3.0,6.0,2.0,,,,,3.0,0.0,Completed,163,3.0,163,17,91.0,20,2,91.0
2017-07-06,2017,Wimbledon,Grand Slam,Outdoor,Grass,2nd Round,5,Thiem D.,Simon G.,8.0,36.0,3895.0,1095.0,5.0,7.0,6.0,4.0,6.0,2.0,6.0,4.0,,,3.0,1.0,Completed,173,4.0,173,13,93.0,24,1,96.0
2017-07-07,2017,Wimbledon,Grand Slam,Outdoor,Grass,3rd Round,5,Nadal R.,Khachanov K.,2.0,34.0,7285.0,1176.0,6.0,1.0,6.0,4.0,7.0,6.0,,,,,3.0,0.0,Completed,207,3.0,206,23,90.0,19,2,90.0
2017-07-08,2017,Wimbledon,Grand Slam,Outdoor,Grass,3rd Round,5,Djokovic N.,Gulbis E.,4.0,589.0,6055.0,50.0,6.0,4.0,6.0,1.0,7.0,6.0,,,,,3.0,0.0,Completed,216,3.0,216,5,98.0,33,1,97.0
2017-07-08,2017,Wimbledon,Grand Slam,Outdoor,Grass,3rd Round,5,Zverev A.,Ofner S.,12.0,216.0,3070.0,248.0,6.0,4.0,6.0,4.0,6.0,2.0,,,,,3.0,0.0,Completed,226,3.0,226,2,99.0,24,0,100.0
2017-07-08,2017,Wimbledon,Grand Slam,Outdoor,Grass,3rd Round,5,Thiem D.,Donaldson J.,8.0,67.0,3895.0,730.0,7.0,5.0,6.0,4.0,6.0,2.0,,,,,3.0,0.0,Completed,173,3.0,173,7,96.0,24,1,96.0
2017-07-08,2017,Wimbledon,Grand Slam,Outdoor,Grass,3rd Round,5,Federer R.,Zverev M.,5.0,30.0,5265.0,1396.0,7.0,6.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,Completed,163,3.0,163,9,95.0,20,0,100.0
2017-07-10,2017,Wimbledon,Grand Slam,Outdoor,Grass,4th Round,5,Federer R.,Dimitrov G.,5.0,11.0,5265.0,3070.0,6.0,4.0,6.0,2.0,6.0,4.0,,,,,3.0,0.0,Completed,163,3.0,163,23,88.0,20,1,95.0
2017-07-11,2017,Wimbledon,Grand Slam,Outdoor,Grass,4th Round,5,Djokovic N.,Mannarino A.,4.0,51.0,6055.0,896.0,6.0,2.0,7.0,6.0,6.0,4.0,,,,,3.0,0.0,Completed,216,3.0,216,21,91.0,33,3,92.0
2017-07-12,2017,Wimbledon,Grand Slam,Outdoor,Grass,Quarterfinals,5,Federer R.,Raonic M.,5.0,7.0,5265.0,4150.0,6.0,4.0,6.0,2.0,7.0,6.0,,,,,3.0,0.0,Completed,163,3.0,163,13,93.0,20,1,95.0
2017-07-14,2017,Wimbledon,Grand Slam,Outdoor,Grass,Semifinals,5,Federer R.,Berdych T.,5.0,15.0,5265.0,2570.0,7.0,6.0,7.0,6.0,6.0,4.0,,,,,3.0,0.0,Completed,163,3.0,163,7,96.0,20,0,100.0
2017-07-16,2017,Wimbledon,Grand Slam,Outdoor,Grass,The Final,5,Federer R.,Cilic M.,5.0,6.0,5265.0,4235.0,6.0,3.0,6.0,1.0,6.0,4.0,,,,,3.0,0.0,Completed,163,3.0,163,27,86.0,20,5,80.0
2017-08-29,2017,US Open,Grand Slam,Outdoor,Hard,1st Round,5,Nadal R.,Lajovic D.,1.0,85.0,7645.0,637.0,7.0,6.0,6.0,2.0,6.0,2.0,,,,,3.0,0.0,Completed,207,3.0,206,17,92.0,19,2,90.0
2017-08-29,2017,US Open,Grand Slam,Outdoor,Hard,1st Round,5,Zverev A.,King D.,6.0,168.0,4470.0,338.0,7.0,6.0,7.0,5.0,6.0,4.0,,,,,3.0,0.0,Completed,226,3.0,226,1,100.0,24,0,100.0
2017-08-30,2017,US Open,Grand Slam,Outdoor,Hard,1st Round,5,Federer R.,Tiafoe F.,3.0,70.0,7145.0,705.0,4.0,6.0,6.0,2.0,6.0,1.0,1.0,6.0,6.0,4.0,3.0,2.0,Completed,163,5.0,163,16,91.0,20,4,83.0
2017-08-30,2017,US Open,Grand Slam,Outdoor,Hard,1st Round,5,Thiem D.,De Minaur A.,8.0,186.0,4030.0,298.0,6.0,4.0,6.0,1.0,6.0,1.0,,,,,3.0,0.0,Completed,173,3.0,173,18,91.0,24,0,100.0
2017-08-30,2017,US Open,Grand Slam,Outdoor,Hard,1st Round,5,Rublev A.,Bedene A.,53.0,48.0,890.0,958.0,6.0,1.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,Completed,154,3.0,147,16,90.0,15,2,88.0
2017-08-31,2017,US Open,Grand Slam,Outdoor,Hard,2nd Round,5,Rublev A.,Dimitrov G.,53.0,9.0,890.0,3710.0,7.0,5.0,7.0,6.0,6.0,3.0,,,,,3.0,0.0,Completed,154,3.0,147,23,86.0,15,1,94.0
2017-08-31,2017,US Open,Grand Slam,Outdoor,Hard,2nd Round,5,Federer R.,Youzhny M.,3.0,101.0,7145.0,541.0,6.0,1.0,6.0,7.0,4.0,6.0,6.0,4.0,6.0,2.0,3.0,2.0,Completed,163,5.0,163,2,99.0,20,1,95.0
2017-08-31,2017,US Open,Grand Slam,Outdoor,Hard,2nd Round,5,Thiem D.,Fritz T.,8.0,108.0,4030.0,519.0,6.0,4.0,6.0,4.0,4.0,6.0,7.0,5.0,,,3.0,1.0,Completed,173,4.0,173,14,93.0,24,6,80.0
2017-09-01,2017,US Open,Grand Slam,Outdoor,Hard,2nd Round,5,Nadal R.,Daniel T.,1.0,121.0,7645.0,465.0,4.0,6.0,6.0,3.0,6.0,2.0,6.0,2.0,,,3.0,1.0,Completed,207,4.0,206,6,97.0,19,2,90.0
2017-09-02,2017,US Open,Grand Slam,Outdoor,Hard,3rd Round,5,Rublev A.,Dzumhur D.,53.0,56.0,890.0,855.0,6.0,4.0,6.0,4.0,5.0,7.0,6.0,4.0,,,3.0,1.0,Completed,154,4.0,147,12,92.0,15,3,83.0
2017-09-02,2017,US Open,Grand Slam,Outdoor,Hard,3rd Round,5,Nadal R.,Mayer L.,1.0,59.0,7645.0,815.0,6.0,7.0,6.0,3.0,6.0,1.0,6.0,4.0,,,3.0,1.0,Completed,207,4.0,206,9,96.0,19,1,95.0
2017-09-02,2017,US Open,Grand Slam,Outdoor,Hard,3rd Round,5,Thiem D.,Mannarino A.,8.0,34.0,4030.0,1255.0,7.0,5.0,6.0,3.0,6.0,4.0,,,,,3.0,0.0,Completed,173,3.0,173,21,89.0,24,3,89.0
2017-09-03,2017,US Open,Grand Slam,Outdoor,Hard,3rd Round,5,Federer R.,Lopez F.,3.0,35.0,7145.0,1250.0,6.0,3.0,6.0,3.0,7.0,5.0,,,,,3.0,0.0,Completed,163,3.0,163,7,96.0,20,1,95.0
2017-09-04,2017,US Open,Grand Slam,Outdoor,Hard,4th Round,5,Nadal R.,Dolgopolov O.,1.0,64.0,7645.0,751.0,6.0,2.0,6.0,4.0,6.0,1.0,,,,,3.0,0.0,Completed,207,3.0,206,5,98.0,19,0,100.0
2017-09-04,2017,US Open,Grand Slam,Outdoor,Hard,4th Round,5,Rublev A.,Goffin D.,53.0,14.0,890.0,2525.0,7.0,5.0,7.0,6.0,6.0,3.0,,,,,3.0,0.0,Completed,154,3.0,147,19,89.0,15,2,88.0
